"date","count","package","version"
2020-08-31,17,"rjdqa","rjdqa_0.1.1"
2020-09-01,16,"rjdqa","rjdqa_0.1.1"
2020-09-02,16,"rjdqa","rjdqa_0.1.1"
2020-09-03,12,"rjdqa","rjdqa_0.1.1"
2020-09-04,12,"rjdqa","rjdqa_0.1.1"
2020-09-05,17,"rjdqa","rjdqa_0.1.1"
2020-09-06,16,"rjdqa","rjdqa_0.1.1"
2020-09-07,31,"rjdqa","rjdqa_0.1.1"
2020-09-08,23,"rjdqa","rjdqa_0.1.1"
2020-09-09,27,"rjdqa","rjdqa_0.1.1"
2020-09-10,17,"rjdqa","rjdqa_0.1.1"
2020-09-11,26,"rjdqa","rjdqa_0.1.1"
2020-09-12,23,"rjdqa","rjdqa_0.1.1"
2020-09-13,18,"rjdqa","rjdqa_0.1.1"
2020-09-14,35,"rjdqa","rjdqa_0.1.1"
2020-09-15,18,"rjdqa","rjdqa_0.1.1"
2020-09-16,17,"rjdqa","rjdqa_0.1.1"
2020-09-17,34,"rjdqa","rjdqa_0.1.1"
2020-09-18,23,"rjdqa","rjdqa_0.1.1"
2020-09-19,20,"rjdqa","rjdqa_0.1.1"
2020-09-20,15,"rjdqa","rjdqa_0.1.1"
2020-09-21,19,"rjdqa","rjdqa_0.1.1"
2020-09-22,20,"rjdqa","rjdqa_0.1.1"
2020-09-23,21,"rjdqa","rjdqa_0.1.1"
2020-09-24,9,"rjdqa","rjdqa_0.1.1"
2020-09-25,13,"rjdqa","rjdqa_0.1.1"
2020-09-26,15,"rjdqa","rjdqa_0.1.1"
2020-09-27,12,"rjdqa","rjdqa_0.1.1"
2020-09-28,18,"rjdqa","rjdqa_0.1.1"
2020-09-29,17,"rjdqa","rjdqa_0.1.1"
2020-09-30,17,"rjdqa","rjdqa_0.1.1"
2020-10-01,30,"rjdqa","rjdqa_0.1.1"
2020-10-02,16,"rjdqa","rjdqa_0.1.1"
2020-10-03,16,"rjdqa","rjdqa_0.1.1"
2020-10-04,21,"rjdqa","rjdqa_0.1.1"
2020-10-05,11,"rjdqa","rjdqa_0.1.1"
2020-10-06,13,"rjdqa","rjdqa_0.1.1"
2020-10-07,13,"rjdqa","rjdqa_0.1.1"
2020-10-08,12,"rjdqa","rjdqa_0.1.1"
2020-10-09,13,"rjdqa","rjdqa_0.1.1"
2020-10-10,16,"rjdqa","rjdqa_0.1.1"
2020-10-11,13,"rjdqa","rjdqa_0.1.1"
2020-10-12,10,"rjdqa","rjdqa_0.1.1"
2020-10-13,16,"rjdqa","rjdqa_0.1.1"
2020-10-14,22,"rjdqa","rjdqa_0.1.1"
2020-10-15,10,"rjdqa","rjdqa_0.1.1"
2020-10-16,23,"rjdqa","rjdqa_0.1.1"
2020-10-17,1,"rjdqa","rjdqa_0.1.1"
2020-10-18,9,"rjdqa","rjdqa_0.1.1"
2020-10-19,19,"rjdqa","rjdqa_0.1.1"
2020-10-20,15,"rjdqa","rjdqa_0.1.1"
2020-10-21,17,"rjdqa","rjdqa_0.1.1"
2020-10-22,17,"rjdqa","rjdqa_0.1.1"
2020-10-23,16,"rjdqa","rjdqa_0.1.1"
2020-10-24,17,"rjdqa","rjdqa_0.1.1"
2020-10-25,13,"rjdqa","rjdqa_0.1.1"
2020-10-26,16,"rjdqa","rjdqa_0.1.1"
2020-10-27,14,"rjdqa","rjdqa_0.1.1"
2020-10-28,17,"rjdqa","rjdqa_0.1.1"
2020-10-29,25,"rjdqa","rjdqa_0.1.1"
2020-10-30,11,"rjdqa","rjdqa_0.1.1"
2020-10-31,13,"rjdqa","rjdqa_0.1.1"
2020-11-01,11,"rjdqa","rjdqa_0.1.1"
2020-11-02,6,"rjdqa","rjdqa_0.1.1"
2020-11-03,22,"rjdqa","rjdqa_0.1.1"
2020-11-04,11,"rjdqa","rjdqa_0.1.1"
2020-11-05,20,"rjdqa","rjdqa_0.1.1"
2020-11-06,17,"rjdqa","rjdqa_0.1.1"
2020-11-07,21,"rjdqa","rjdqa_0.1.1"
2020-11-08,16,"rjdqa","rjdqa_0.1.1"
2020-11-09,19,"rjdqa","rjdqa_0.1.1"
2020-11-10,15,"rjdqa","rjdqa_0.1.1"
2020-11-11,23,"rjdqa","rjdqa_0.1.1"
2020-11-12,17,"rjdqa","rjdqa_0.1.1"
2020-11-13,14,"rjdqa","rjdqa_0.1.1"
2020-11-14,9,"rjdqa","rjdqa_0.1.1"
2020-11-15,13,"rjdqa","rjdqa_0.1.1"
2020-11-16,13,"rjdqa","rjdqa_0.1.1"
2020-11-17,16,"rjdqa","rjdqa_0.1.1"
2020-11-18,20,"rjdqa","rjdqa_0.1.1"
2020-11-19,18,"rjdqa","rjdqa_0.1.1"
2020-11-20,12,"rjdqa","rjdqa_0.1.1"
2020-11-21,10,"rjdqa","rjdqa_0.1.1"
2020-11-22,13,"rjdqa","rjdqa_0.1.1"
2020-11-23,13,"rjdqa","rjdqa_0.1.1"
2020-11-24,16,"rjdqa","rjdqa_0.1.1"
2020-11-25,17,"rjdqa","rjdqa_0.1.1"
2020-11-26,7,"rjdqa","rjdqa_0.1.1"
2020-11-27,13,"rjdqa","rjdqa_0.1.1"
2020-11-28,14,"rjdqa","rjdqa_0.1.1"
2020-11-29,11,"rjdqa","rjdqa_0.1.1"
2020-11-30,17,"rjdqa","rjdqa_0.1.1"
2020-12-01,18,"rjdqa","rjdqa_0.1.1"
2020-12-02,19,"rjdqa","rjdqa_0.1.1"
2020-12-03,14,"rjdqa","rjdqa_0.1.1"
2020-12-04,16,"rjdqa","rjdqa_0.1.1"
2020-12-05,13,"rjdqa","rjdqa_0.1.1"
2020-12-06,11,"rjdqa","rjdqa_0.1.1"
2020-12-07,13,"rjdqa","rjdqa_0.1.1"
2020-12-08,3,"rjdqa","rjdqa_0.1.1"
2020-12-09,21,"rjdqa","rjdqa_0.1.1"
2020-12-10,15,"rjdqa","rjdqa_0.1.1"
2020-12-11,14,"rjdqa","rjdqa_0.1.1"
2020-12-12,11,"rjdqa","rjdqa_0.1.1"
2020-12-13,16,"rjdqa","rjdqa_0.1.1"
2020-12-14,15,"rjdqa","rjdqa_0.1.1"
2020-12-15,11,"rjdqa","rjdqa_0.1.1"
2020-12-16,9,"rjdqa","rjdqa_0.1.1"
2020-12-17,19,"rjdqa","rjdqa_0.1.1"
2020-12-18,13,"rjdqa","rjdqa_0.1.1"
2020-12-19,11,"rjdqa","rjdqa_0.1.1"
2020-12-20,13,"rjdqa","rjdqa_0.1.1"
2020-12-21,13,"rjdqa","rjdqa_0.1.1"
2020-12-22,15,"rjdqa","rjdqa_0.1.1"
2020-12-23,14,"rjdqa","rjdqa_0.1.1"
2020-12-24,11,"rjdqa","rjdqa_0.1.1"
2020-12-25,11,"rjdqa","rjdqa_0.1.1"
2020-12-26,14,"rjdqa","rjdqa_0.1.1"
2020-12-27,9,"rjdqa","rjdqa_0.1.1"
2020-12-28,17,"rjdqa","rjdqa_0.1.1"
2020-12-29,12,"rjdqa","rjdqa_0.1.1"
2020-12-30,16,"rjdqa","rjdqa_0.1.1"
2020-12-31,13,"rjdqa","rjdqa_0.1.1"
2021-01-01,13,"rjdqa","rjdqa_0.1.1"
2021-01-02,12,"rjdqa","rjdqa_0.1.1"
2021-01-03,11,"rjdqa","rjdqa_0.1.1"
2021-01-04,12,"rjdqa","rjdqa_0.1.1"
2021-01-05,13,"rjdqa","rjdqa_0.1.1"
2021-01-06,16,"rjdqa","rjdqa_0.1.1"
2021-01-07,16,"rjdqa","rjdqa_0.1.1"
2021-01-08,11,"rjdqa","rjdqa_0.1.1"
2021-01-09,11,"rjdqa","rjdqa_0.1.1"
2021-01-10,12,"rjdqa","rjdqa_0.1.1"
2021-01-11,14,"rjdqa","rjdqa_0.1.1"
2021-01-12,13,"rjdqa","rjdqa_0.1.1"
2021-01-13,18,"rjdqa","rjdqa_0.1.1"
2021-01-14,17,"rjdqa","rjdqa_0.1.1"
2021-01-15,14,"rjdqa","rjdqa_0.1.1"
2021-01-16,10,"rjdqa","rjdqa_0.1.1"
